phenotype	endpoint
Migraine with aura and triptan purchases	G6_MIGRAINE_WITH_AURA_TRIPTAN
Migraine without aura, drug-induced	G6_MIGRAINE_NO_AURA_ADVERSE
Toxic encephalopathy	G6_ENCEPHTOX
Felty syndrome	FELTY
Vascular dementia	F5_VASCDEM
Paranoid personality disorder	F5_PARAPER
Mental and behavioural disorders due to multiple drug use and use of multiple drugs and use of other psychoactive substances	F5_OTHERSUB
Other neurotic disorders	F5_NEUROTICOTH
Emotional disorders and disorders of social functioning with onset specific to childhood	F5_EMOCHILD
Persistent delusional disorders	F5_DELUSIO
Bipolar affective disorders	F5_BIPO
Anankastic personality disorder	F5_ANAPER
Thyroiditis, unspecified	E4_THYROIDITNAS
Disorders of porphyrin and bilirubin metabolism	E4_PORBILIR
Congenital lactase deficiency	E4_LACTOCON
Hyperaldosteronism	E4_HYPERALDO
Graves ophthalmopathy, strict	E4_GRAVES_OPHT_STRICT
Gilbert syndrome	E4_GILBERT
Other disorders of fluid, electrolyte and acid-base balance	E4_FLUIDELECTRO
Disorders of puberty	E4_DISPUB
Carcinoid syndrome	E4_CARCISDR
Drug-induced cataract	DRUGADVERS_CATAR
Diabetic neuropathy	DM_NEUROPATHY
Other haemoglobinopathies	D3_OTHHAEMOGLOPAT
Common variable immunodeficiency	D3_CVID
Arthropathy in Crohn disease	CROHN_ARTHR
CR(E)ST syndrome	CREST
COPD-related respiratory insufficiency	COPD_INSUFFICIENCY
Chronic myeloproliferative disease	CHRONMYELOPRO
Other and unspecified types of non-Hodgkin lymphoma, hilmo (controls excluding all cancers)	CD2_NONHODGKIN_NAS_EXALLC
Multiple myeloma and malignant plasma cell neoplasms (controls excluding all cancers)	CD2_MULTIPLE_MYELOMA_PLASMA_CELL_EXALLC
Carcinoma in situ of prostate (controls excluding all cancers)	CD2_INSITU_PROSTATE_EXALLC
Carcinoma in situ, bladder (controls excluding all cancers)	CD2_INSITU_BLADDER_EXALLC
Hodgkin lymphoma, hilmo (controls excluding all cancers)	CD2_HODGKIN_LYMPHOMA_EXALLC
Benign neoplasm of thyroid gland	CD2_BENIGN_THYROID
Benign neoplasm: Stomach	CD2_BENIGN_STOMACH
Benign neoplasm: Spinal cord	CD2_BENIGN_SPINAL_CORD
Benign neoplasm: Retina	CD2_BENIGN_RETINA
Benign neoplasm: Rectosigmoid junction	CD2_BENIGN_RECTOSIGMOID_JUNC
Benign neoplasm: Pituitary gland, craniopharyngeal duct	CD2_BENIGN_PITUITARY_CRANIPHAR
Benign neoplasm: Other/unspecified site	CD2_BENIGN_NOS
Benign neoplasm: Nasopharynx	CD2_BENIGN_NASOPHARYNX
Melanocytic naevi, other sites/unspecified	CD2_BENIGN_MELANOCYTIC_NOS
Melanocytic naevi of lower limb, including hip	CD2_BENIGN_MELANOCYTIC_LOWERLIMB
Benign neoplasm: Heart	CD2_BENIGN_HEART
Benign neoplasm: Endocrine pancreas	CD2_BENIGN_ENDOCRINE_PANCREAS
Benign neoplasm: Cranial nerves	CD2_BENIGN_CRANIAL_NERVE
Benign neoplasm of breast	CD2_BENIGN_BREAST
Benign neoplasm: Ascending colon	CD2_BENIGN_ASCENDING_COLON
Seminoma of testis, excluding all cancers (controls excluding all cancers)	C3_TESTIS_SEMINOMA_EXALLC
Non-seminoma of testis, excluding all cancers (controls excluding all cancers)	C3_TESTIS_NONSEMINOMA_EXALLC
Serous carcinoma of ovary, excluding all cancers (controls excluding all cancers)	C3_OVARY_SEROUS_EXALLC
Mucinous and mucinous cystic tumor, excluding all cancers (controls excluding all cancers)	C3_OVARY_MUCINO_EXALLC
Non-small cell lung cancer, adenocarcinoma, excluding all cancers (controls excluding all cancers)	C3_NSCLC_ADENO_EXALLC
Multiple myeloma, Monoclonal gammopathy of undetermined significance (MGUS), excluding all cancers (controls excluding all cancers)	C3_MYELOMA_MONOCLONAL_EXALLC
Brain glioblastoma and astrocytoma, excluding all cancers (controls excluding all cancers)	C3_GBM_ASTROCYTOMA_EXALLC
Malignant neoplasm of eye and adnexa, excluding all cancers (controls excluding all cancers)	C3_EYE_ADNEXA_EXALLC
Brain astrocytoma, excluding all cancers (controls excluding all cancers)	C3_ASTROCYTOMA_EXALLC
Anosmia	ANOSMIA
Allergic contact dermatitis due to drugs in contact with skin	ALLERGIC_CONTACT_DERMA_DRUGS_CONTACT_W_SKIN
Use of disulfiram, acamprosate or naltrexone	ALCO_PRESCRIPTION
Alzheimer’s disease (undefined) (more control exclusions)	AD_U_EXMORE
Zoster [herpes zoster]	AB1_ZOSTER
Whooping cough	AB1_WHOOPCOUGH
Viral infections characterized by skin and mucous membrane lesions	AB1_VIRAL_SKIN_MUCOUS_MEMBRANE
Varicella [chickenpox]	AB1_VARICELLA
Respiratory tuberculosis, confirmed	AB1_RESP_TUBERCU_CONF
Other infectious diseases	AB1_OTHER_INFECTIONS
Other bacterial intestinal infections	AB1_BACT_INTEST_OTH
Tobacco use	Z21_TOBAC_USE
Problems related to medical facilities and other health care	Z21_PROBL_RELATED_MEDICAL_FACILITI_OTH_HEALTH_CARE
Vascular dementia (subcortical)	VD_SC
Vascular dementia (mixed)	VD_MX
Vascular dementia (multiple infarctions)	VD_MI
Arthropathy in ulcerative colitis	ULCER_ARTHR
Tongue abnormality	TONGUEABNORMALITY
Temporomandibular joint disorders, including avohilmo	TEMPOROMANDIB_INCLAVO
Temporomandibular joint disorders	TEMPOROMANDIB
Type 1 diabetes, strict definition, subgroup 2	T1D_STRICT2
Systemic sclerosis,strict definition	SYSTSCLE_STRICT
Adult-onset Still disease	STILL_ADULT
Toxic effect of ethanol	ST19_TOXIC_EFFECT_ETHAN
Fracture at wrist and hand level	ST19_FRACT_WRIST_HAND_LEVEL
Fracture of neck	ST19_FRACT_NECK
Smoking dependency	SMOKING_DEPEND
Small fibre neuropathy	SFN
Other secondary coxarthrosis	SCND_OTH_COXARTHROSIS
Biological medicines for asthma	RX_ASTMA_BIOL
Vasomotor rhinitis (mode)	RHINITIS_VASOMOTOR
Other specified congenital malformation syndromes affecting multiple systems	Q17_OTHER_SPECIFE_CONGEN_MALFO_SYNDR_AFFECTING_MULTIPLE_SYSTEMS
Other congenital malformations of upper alimentary tract	Q17_OTHER_CONGEN_MALFO_UPPER_ALIME_TRACT
Other congenital malformations of tongue, mouth and pharynx	Q17_OTHER_CONGEN_MALFO_TONGUE_MOUTH_PHARYNX
Other congenital malformations of nervous system	Q17_OTHER_CONGEN_MALFO_NERVOUS_SYSTEM
Other congenital malformations of circulatory system	Q17_OTHER_CONGEN_MALFO_CIRCULATO_SYSTEM
Left ventricular outflow tract obstruction (LVOTO), broad definition	Q17_LVOTO_BROAD
Conotruncal defects	Q17_CONOTR_DEFEC
Congenital malformations of the nervous system	Q17_CONGEN_MALFO_NERVOUS_SYSTEM
Congenital malformations of the musculoskeletal system, not elsewhere classified	Q17_CONGEN_MALFO_MUSCULOS_SYSTEM_NOT_ELSEW_CLASSIFIED
Congenital malformations of great veins	Q17_CONGEN_MALFO_GREAT_VEINS
Congenital malformations of great arteries	Q17_CONGEN_MALFO_GREAT_ARTERIES
Congenital malformations and deformations of the musculoskeletal system	Q17_CONGEN_MALFO_DEFORMAT_MUSCULOS_SYSTEM
Congenital deformities of feet	Q17_CONGEN_DEFORMITI_FEET
Cleft lip and cleft lip and palate	Q17_CLEFT_LIP_OR_LIP_AND_PALATE
Bicuspidal aortic valve syndrome	Q17_BICUSP_AORTIC_VALVE
Phlebitis and thrombophlebitis of lower extremities, unspecified, drug-induced	PHLEBI_THROMBOP_LOWER_EXTREMITI_UNSPE
Secondary parkinsonism (more control exclusions)	PD2ND_EXMORE
Interstitial emphysema and related conditions originating in the perinatal period	P16_INTERSTITIAL_EMPHY_RELATED_COND_ORIGINA_PERINA_PERIOD
Birth asphyxia	P16_BIRTH_ASPHYXIA
Bacterial sepsis of newborn	P16_BACTERIAL_SEPSIS_NEWBO
Other drug-induced secondary parkinsonism	OTHER_DRUGADVERS_SECONDA_PARKINSONI
Osteonecrosis due to drugs	OSTEON_DRUGS
Alcohol related diseases, tilastokeskus definition, death only	OFFICIAL_TILASTOKESKUS_DEATH
Twin gestation	O15_TWIN_GEST
Retained placenta and membranes, without haemorrhage	O15_RETAINED_PLAC_MEMB_NO_HEAMORRH
Other puerperal infections	O15_PUERP_INFECT_OTHER
Complications of the puerperium, not elsewhere classified	O15_PUERP_COMPL_NAS
Complications of anaesthesia during the puerperium	O15_PUERP_ANEST_COMPL
Preterm labour and delivery	O15_PRETERM
Venous complications and haemorrhoids in pregnancy	O15_PREG_VENOUS_HAEMORRH
Infections of genitourinary tract in pregnancy	O15_PREG_GU_INFECT
Ectopic pregnancy	O15_PREG_ECTOP
Postpartum haemorrhage	O15_POSTPART_HEAMORRH_ALLW
Postpartum haemorrhage due to retained placenta	O15_POSTPART_HAEMORRH_PLACENTA
Placenta praevia	O15_PLAC_PRAEVIA
Other obstetric trauma	O15_OBSTET_TRAUMA_OTHER
Multiple gestation	O15_MULTIP_GEST
Premature rupture of membranes	O15_MEMBR_PREMAT_RUPT
Maternal care for known or suspected malpresentation of fetus	O15_MAT_CARE_MALPRESENT
Maternal care for known or suspected disproportion	O15_MATERN_CARE_DISPROP
Other obstructed labour	O15_LABOUR_OBSTR_OTHER
Labour and delivery complicated by fetal stress [distress]	O15_LABOUR_FETAL_STRESS
Complications of anaesthesia during labour and delivery	O15_LABOUR_ANEST_COMPLIC
Failed induction of labour	O15_FAILED_INDUCT
Perineal laceration during delivery	O15_DELIV_PERIN_LACER
Other assisted single delivery	O15_DELIV_OTHER_ASSIST
Complications following abortion and ectopic and molar pregnancy	O15_COMPLIC_ABORT_ECTOP_MOLAR
Other disorders of amniotic fluid and membranes	O15_AMNIOT_OTHER
Nonalcoholic steatohepatitis	NASH
HSIL lesion of the vulva	N14_VULVAL_HSIL
All dysplastic lesions of the vulva	N14_VULVAL_DYSPLASIA_ALL
Vaginitis/vulvovaginitis/vulvitis/abscess of vulva	N14_VAGINITIS
All dysplastic lesions of the vagina	N14_VAGINAL_DYSPLASIA_ALL
Ulcer of vagina/vulva	N14_ULCERVAGVUL
Small kidney of unknown cause	N14_SMALLKIDNEY
Salpingitis and oophoritis	N14_SALPHOOPH
Other noninflammatory disorders of vagina	N14_OTHNONINFVAG
Other and unspecified noninflammatory disorders of ovary, fallopian tube and broad ligament	N14_OTHNONINFOVA
Other noninflammatory disorders of cervix uteri	N14_OTHNONINFCERVIX
Other specified disorders of kidney and ureter	N14_OTHETNASKIDUR
Other disorders of kidney and ureter	N14_KIDUROTH
Inflammatory disorders of breast	N14_INFLAMMBREAST
Hydronephrosis	N14_HYDRONEPHR
Henoch-Schönlein purpura nephritis (HSPN)	N14_HENOCHSCHONLEIN_NEPHRITIS
Other disorders of the genitourinary system	N14_GENITOUROTH
Female infertility, tubal origin	N14_FITUB
Inflammatory diseases of female pelvic organs	N14_FEMALEGENINF
Erosion and ectropion of cervix uteri	N14_EROSECTROPUT
Cyst of kidney	N14_CYSTKID
Chronic nephritic syndrome	N14_CHRONEPHROPATH
Calculus of lower urinary tract	N14_CALCULOWER
Other and unspecified disease of Bartholin gland	N14_BARTHOOTHNAS
Other abnormal uterine and vaginal bleeding	N14_ABNORMALBLEED
Atypical mycobacterium lung infection	MYCOBLUNGATYPICA
Memory loss	MEMLOSS
Degenerative macular diseases	MACULA_NAS
Wegener granulomatosis	M13_WEGENER
Valgus deformity, not elsewhere classified	M13_VALGUS
Trochanteric bursitis	M13_TROCHANTERICBURSITIS
Pain in thoracic spine	M13_THORACISPINEPAIN
Other/unspecified synovitis and tenosynovitis	M13_TENDOSYNOVITISNAS
Spontaneous rupture of synovium and tendon	M13_SPONTRUPTSYNOTEND
Other specified/unspecified spondylopathies	M13_SPONDYLOPATHYNAS
Spinal instabilities	M13_SPININSTAB
Spinal osteochondrosis	M13_SPINALOSTEOCHON
Soft tissue disorders related to use, overuse and pressure	M13_SOFTOVERUSE
Other shoulder lesions	M13_SHOULDERNAS
Bursitis of shoulder	M13_SHOULDERBURSITIS
Sacrococcygeal disorders, not elsewhere classified	M13_SACROCOGG
Psoas tendinitis	M13_PSOASTEND
Polyarteritis nodosa	M13_POLNODOSA
Other disorders of bone	M13_OTHERBONE
Neuralgia and neuritis, unspecified	M13_NEURALGIA
Muscle strain	M13_MUSCLESTRAIN
Loose body in joint	M13_LOOSEJOINT
Juvenile osteochondrosis	M13_JUVOSTEOCHONRHIP
Impingement syndrome of shoulder	M13_IMPINGEMENT
Hypermobility syndrome	M13_HYPERMOBILITY
Hypertrophy of (infrapatellar) fat pad	M13_FATPADHYPERTROPHY
Other/unspecified enthesopathies, not elsewhere classified	M13_ENTESOPATHYNAS
Infection of intervertebral disc (pyogenic)	M13_DISCINFECTION
Other specified/unspecified deforming dorsopathies	M13_DEFORMDORSONAS
Polyarteritis with lung involvement [Churg-Strauss]/EGPA	M13_CHURGSTRAUSS
Other articular cartilage disorders	M13_CARTILAGE
Other bursitis, not elsewhere classified	M13_BURSITISOTH
Other bursal cyst	M13_BURSCYSTOTH
Synovial cyst of popliteal space [Baker]	M13_BAKERCYST
Algoneurodystrophy	M13_ALGONEURO
Achilles tendinitis	M13_ACHILLESTEND
Abscess of tendon sheath	M13_ABSCTENDON
Localized skin eruption due to drugs and medicaments	LOCALIZED_SKIN_ERUPT_DRUGS_MEDICAM
Dermatographic urticaria	L12_URTICA_DERTMATOG
Rhinophyma	L12_RHINOPHYMA
Pyogenic granuloma	L12_PYOGENGRANUL
Generalized pustular psoriasis	L12_PSORI_PUSTGEN
Prurigo nodularis	L12_PRURIGONOD
Other  prurigo	L12_PRURIGONAS
Polymorphous light eruption	L12_POLYMORPHLIGHTERUPT
Perioral dermatitis	L12_PERIORALDERM
Other and unspecified papulosquamous disorders	L12_PAPULOSQUONAS
Other papulosquamous disorders	L12_PAPULOSQUAOTH
Other melanin hyperpigmentation	L12_OTHERMELANIN
Other infiltrative disorders of skin and subcutaneous tissue	L12_OTHERINFILTRATIVESKIN
Other acute skin changes due to ultraviolet radiation	L12_OTHACUSKINSUN
Other and unspecified skin changes due to chronic exposure to nonionizing radiation	L12_NONIONRADISKINNAS
Necrobiosis lipoidica, not elsewhere classified	L12_NECROLIPOIDIC
Ingrowing nail	L12_NAIL_INGROW
Nail disorders	L12_NAILDIS
Acute lymphadenitis	L12_LYMPHADENITIS
Localized scleroderma [morphea]	L12_LOCALSCLERODERMA
Other localized connective tissue disorders	L12_LOCALDCONNECTISSUEOTH
Other and unspecified localized connective tissue disorders	L12_LOCALCONNECTISSUENAS
Cicatricial alopecia [scarring hair loss]	L12_HAIRLOSSSCAR
Folliculitis decalvans	L12_FOLLICULITDECALV
Universal erythroderma, KELA reimbursement	L12_ERYTHRO_KELA
Other and unspecified epidermal thickening	L12_EPIDERMTHICKNAS
Nummular dermatitis	L12_DERM_NUMMULAR
Decubitus ulcer and pressure area	L12_DECUBITANSULCERANDPRESSURE
Corns and callosities	L12_CORNSANDCALLOS
Alopecia areata	L12_ALOPECAREATA
Acne conglobata	L12_ACNE_CONGLOBLATA
Motor disorders (more control exclusions)	KRA_PSY_MOTOR_EXMORE
Eating disorder (more control exclusions)	KRA_PSY_EATING_EXMORE
Emotional disorders starting during childhood or adolescence (more control exclusions)	KRA_PSY_CHILDEMOT_EXMORE
Alcohol abuse, main dg (more control exclusions)	KRA_PSY_ALCOH_EXMORE
Vascular disorders of the intestines	K11_VASCINT
Ulcerative colitis (strict) with PSC	K11_UC_STRICT_PSC
Toxic liver disease	K11_TOXLIV
Stomatitis and related lesions	K11_STOMATITIS
Maxillary retrognathism	K11_RETROG_MAXILLAE
Paralytic ileus	K11_PARALIL
Other diseases of peritoneum	K11_OTHPERITON
Other functional intestinal disorders	K11_OTHFUNC
Other diseases of stomach and duodenum	K11_OTHDISSTOMDUOD
Other diseases of oesophagus	K11_OTHDISOES
Other diseases of the digestive system	K11_OTHDISDIG
Oral lichen ruber planus	K11_ORAL_LICHEN_PLANUS
Open bite	K11_OPEN_BITE
Ulcer of oesophagus, drug-induced	K11_OESULC_ADVERSE
Mesial bite	K11_MESIAL_BITE
Maxillary  hypoplasia	K11_MAXIL_HYPOPL
Impacted maxillary canine	K11_MAXIL_CANINE_FAILED_ERUPT_OBSTRUCTION_TOOTH
Other diseases of lip and oral mucosa	K11_LIP_ORAL_MUCOSA
Other diseases of jaws	K11_JAWS
Paralytic ileus and intestinal obstruction	K11_ILEUS
IBD (strict) with PSC	K11_IBD_STRICT_PSC
Hypoplasia of dental enamel, prenatal	K11_HYPOPLASIA_ENAMEL_PRENATAL
Other diseases of gallbladder	K11_GALLBLAOTH
Erosion of teeth	K11_EROSION
Embedded and impacted teeth	K11_EMBIMPACT_TEETH
Disorders of oesophagus in diseases classified elsewhere	K11_DISOESINOTH
Dentofacial anomalies [including malocclusion]	K11_DENTOFACIAL_ANOMALIES
Deep bite that required surgery	K11_DEEP_BITE_SURGERY
Constipation	K11_CONSTIPATION
Other diseases of biliary tract	K11_BILIAOTH
Barrett oesophagus	K11_BARRET
Asymmetry of jaw	K11_ASYMMETRY_JAW
Recurring oral aphthae, including avohilmo	K11_APHTA_RECUR_INCLAVO
Recurring oral aphthae	K11_APHTA_RECUR
Alcoholic gastritis	K11_ALCGASTR
Viral pneumonia	J10_VIRALPNEUMO
Pneumoconiosis due to dust containing silica	J10_SILICAPNEUMOC
Pyothorax	J10_PYOTHORAX
Pulmonary eosinophilia, not elsewhere classified	J10_PULMEOS
Pneumonitis due to solids and liquids	J10_PNEUMONISOLLIQ
Other diseases of pleura	J10_PLEURA
Pneumoconiosis due to other inorganic dusts	J10_INORGPNEUMOC
All influenza	J10_INFLUENZA
Acute nasopharyngitis (common cold)	J10_COLD
Respiratory conditions due to inhalation of chemicals, gases, fumes and vapours	J10_CHEMGASRESP
Acute bronchiolitis	J10_BRONCHIOLITIS
Bronchiectasis	J10_BRONCHIECTASIS
Bronchitis, not specified as acute or chronic	J10_BRONCH
Pneumoconiosis due to asbestos and other mineral fibres	J10_ASBESTPNEUMOC
Invasive ventilation	INV_VENT
Interstitial cystitis (chronic), drug-induced	INTERSTITIAL_CYSTIT_CHRONIC
Increased muscle tone	INCREASEDMUSCLETONE
Vascular diseases of the intestine	I9_VASCINT
Embolic stroke	I9_STR_EMBOLIC
Right bundle-branch block	I9_RBBB
Progressive vascular leukoencephalopathy	I9_PROGVASC
Pericarditis	I9_PERICARD
Other noninfective disorders of lymphatic vessels and lymph nodes	I9_LYMPHOTH
Nonspecific lymphadenitis	I9_LYMPHADE
Intracerebral haemorrhage	I9_ICH
Cerebral amyloid angiopathy	I9_CEREBAMY
Cardiomyopathy in other diseases	I9_CARDMYOINOTH
Cardiomyopathies, Secondary/extrinsic	I9_CARDMSEC
Cardiac arrest	I9_CARDARR
Arterial embolism and thrombosis of lower extremity artery	I9_ARTEMBTHRLOW
Arterial embolism and thrombosis	I9_ARTEMBTHR
Other/unspecified disorders of vestibular function	H8_VESTIFUNCNAS
Postprocedural disorders of ear and mastoid process, not elsewhere classified	H8_POSTOP
Recurrent cholesteatoma of postmastoidectomy cavity	H8_POSTMASTCHOLEASTOMA
Other peripheral vertigo	H8_PERIPHVERTIGO
Otorrhoea	H8_OTORRHOEA
Abnormalities of ear ossicles	H8_OSSICABN
Other specified/unspecified disorders of tympanic membrane	H8_MYRINGNAS
Ménière disease	H8_MENIERE
Other infective otitis externa	H8_EXT_INFNAS
Abscess of external ear	H8_EXT_ABSC
Other specified disorders of external ear	H8_EXTDISNAS
Other disorders of Eustachian tube	H8_EUSTNAS
Cholesteatoma of middle ear	H8_CHOLEASTOMA
Xanthelasma of eyelid	H7_XANTHELASMA
Subjective visual disturbances	H7_VISUDISTURBSUB
Visual disturbances	H7_VISUDISTURB
Other specified and unspecified strabismus	H7_STRABNAS
Severe visual impairment, monocular	H7_SEVVISIMPMONOC
Severe visual impairment, binocular	H7_SEVVISIMPBINOC
Scleritis	H7_SCLERITIS
Retrobulbar neuritis in diseases classified elsewhere	H7_RETROBULBNEURINOTH
Other, unspecified and serous retinal detachments	H7_RETINALDETACHOTH
Purulent endophthalmitis	H7_PURENDOPHTHALMITIS
Pterygium	H7_PTERYGIUM
Presbyopia	H7_PRESBYOPIA
Peripheral retinal degeneration	H7_PERIPHRETINADEGEN
Fourth [trochlear] nerve palsy	H7_PARASTRA4
Third [oculomotor] nerve palsy	H7_PARASTRA3
Other retinal artery occlusion	H7_OTHRETARTOCC
Other disorders of optic [2nd] nerve and visual pathways	H7_OPTNEUROTH
Disorders of optic nerve and visual pathways	H7_OPTNERVE
Ocular pain	H7_OCUPAIN
Disorders of ocular muscles, binocular movement, accommodation and refraction	H7_OCUMUSCLE
Nystagmus and other irregular eye movements	H7_NYSTAGMUS
Moderate visual impairment, monocular	H7_MODVISIMPMONOC
Other and unspecified disorders of lacrimal system	H7_LACRINAS
Inflammation of lacrimal passages (acute and unspecified)	H7_LACRIMINFLAMACU
Disorders of lacrimal system	H7_LACRIMALSYSTEM
Internuclear ophthalmoplegia	H7_INTERNUCOPHTHALMOPLEGIA
Hypermetropia	H7_HYPERMETRO
Other and unspecified heterotropia	H7_HETEROTRONAS
Epiphora	H7_EPIPHORA
Other specified and unspecified disorders of lens	H7_DISORDERLENSNAS
Other corneal oedema	H7_CORNEALOEDEMA
Chorioretinal inflammation	H7_CHORIORETINFLAM
Central retinal artery occlusion	H7_CENTRRETARTOCC
Other disorders of binocular vision	H7_BINODISTOTH
Aphakia	H7_APHAKIA
Amblyopia ex anopsia	H7_AMBLYANOPSIA
Generalized epilepsy, mode (most common among epilepsy diagnosis)	GE_MODE
Generalized skin eruption due to drugs and medicaments	GENERALI_SKIN_ERUPT_DRUGS_MEDICAM
Postzoster neuralgia	G6_POSTZOST
Other disorders of peripheral nervous system	G6_PERIPHOTH
Other neurological diseases	G6_OTHNEU
Other demyelinating diseases of the central nervous system	G6_OTHDEMYEL
Inflammatory diseases of the central nervous system	G6_NEUINFL
Other and unspecified mononeuropathies, also in other diseases	G6_MONOOTHUNS
Meningitis, viral	G6_MENINGVIR
Lumbosacral plexus disorders	G6_LSPLEX
Guillain-Barre syndrome	G6_GUILBAR
Dystonia	G6_DYSTON
Drug-induced myopathy	G6_DRUGMYOP
Other acute disseminated demyelination	G6_DISSOTH
Other and unspecified degenerative diseases of nervous system	G6_DEGENOTH
Causalgia	G6_CAUSALGIA
Other and unspecified disorders of autonomic nervous system	G6_AUTOTHUNS
Degeneration of the brain due to alcohol	G6_ALCODEGEN
Frontotemporal dementia	FTD
Femoral hernia, bilateral	FEMHER_BILATERAL
Mental and behavioural disorders due to use of other stimulants, including caffeine	F5_STIMUL
Specific development disorders of speech and language	F5_SPEECH
Disorders of sexual preference	F5_SEXPREF
Other and unspecified disorders of psychological development	F5_PSYCHDEVOTH
Unspecified behavioural syndromes associated with physiological disturbances and physical factors +Physiological and behavioural factors associated with disorders of diseases classified elsewhere	F5_PHYSBEHOTH
Enduring personality changes	F5_PERSOCHANGE
Personality and behavioural disorders due to brain disease, damage and dysfunction	F5_PERSBEHORG
Moderate mental retardation	F5_MODRET
Mixed and other personality disorders	F5_MIXPER
Mild mental retardation	F5_MILDRET
Kela-code for severe mental illness	F5_KELAMENT
Insomnia	F5_INSOMNIA
Hypersomnia	F5_HYPERSOMNIA
Habit and impulse disorders	F5_HABIT
Emotionally unstable personality disorder	F5_EMOPER
Dissociative [conversion] disorders	F5_DISSOCIATIVE
Dementia in other diseases classified elsewhere	F5_DEMINOTH
Mental and behavioural disorders due to cannabinoids	F5_CANNABIS
Anorexia (incl.atypical)	F5_ANOREX
Disturbance of activity and attention	F5_ADHD
Deficiency of other B group vitamins	E4_VIT_B_DEF
Vitamin A deficiency	E4_VIT_A_DEF
Thyrotoxicosis with toxic single thyroid nodule	E4_THYTOXNOD
Chronic thyroiditis	E4_THYROIDITCHRON
Unspecified protein-energy malnutrition	E4_PROTMALNAS
Disorders of pituitary gland, other and/or unspecified	E4_PITUDISNAS
Disorders of phosphorus metabolism and phosphatases	E4_PHOS_MET
Ovarian dysfunction, other/unspecified	E4_OVARDYSNAS
Extreme obesity with alveolar hypoventilation	E4_OBESITYXTRMALV
Other specified/unspecified nutritional deficiencies	E4_NUTRI_DEF_NAS
Disorder of mineral metabolism, other/unspecified	E4_MINERAL_METNAS
Metabolic disorder, other/unspecified	E4_METABONAS
Postinfectious hypothyroidism	E4_HYTHYPOSTINF
Hypoparathyroidism	E4_HYPOPARA
Hypokalaemia	E4_HYPOKALAEMIA
Drug-induced hypoglycaemia without coma	E4_HYPODRUG
Pure hyperglyceridaemia	E4_HYPERGLYCER
Other endocrine disorders	E4_ENDODIS
Cushing syndrome	E4_CUSHING
Disorders of aromatic amino-acid metabolism	E4_AROMAMINO
Syndrome of inappropriate secretion of antidiuretic hormone	E4_ANTIDIU
Organ-limited amyloidosis	E4_AMYL_ORGAN
Other disorders of amino-acid metabolism	E4_AMINO
Adrenogenital disorders	E4_ADRENOGEN
Other adrenocortical overactivity	E4_ADREACT
Drug-induced neutropenia	DRUGADVERS_NEUTROPENIA
Diabetic nephropathy	DM_NEPHROPATHY
Other nonthrombocytopenic purpura	D3_OTHNONTHROMBOCYTOPENPURPURA
Other and unspecified aplastic anaemias	D3_OTHERAPLASTICANAEMIA
Haemolytic-uraemic syndrome	D3_NONAIHA_OTHER
Nezelof syndrome	D3_NEFELOF
Other immunodeficiencies	D3_IMMUDEFOTHER
Immunodeficiency with predominantly antibody defects	D3_IMMUDEFANTIBODY
Hereditary hypogammaglobulinemia	D3_HEREDHYPOGAMMA
Other and unspecified haemorrhagic conditions	D3_HAEMORRHAGICNAS
Selective deficiency of immunoglobulin A [IgA]y	D3_DEF_IIGA
Selective deficiency of immunoglobulin G [IgG] subclasses	D3_DEF_IGG
Defects in the complement system	D3_COMPLEMENTDEF
Allergic purpura	D3_ALLERGPURPURA
Acute posthaemorrhagic anaemia	D3_ACUTEPOSTBLEEDANAEMIA
Acquired haemolytic anaemia	D3_ACQHAEMOLYTICANAEMIA
COPD related to chronic (opportunist) infections	COPD_OPPORTUNIST_INFECTIONS
Other/unspecified cytomegaloviral diseases	CMV_NOS
Cytomegaloviral hepatitis	CMV_HEPATITIS
Chronic myeloid leukaemia [CML], BCR/ABL-positive	CML
Other chondrocalcinosis	CHONDRO_OTH
Biliary cirrhosis, NAS	CHIRBIL_NAS
Charcot foot	CHARCOT
Melanoma of uvea (controls excluding all cancers)	CD2_UVEAMELANOMA_EXALLC
Myeloid leukaemia (controls excluding all cancers)	CD2_MYELOID_LEUKAEMIA_EXALLC
Carcinoma in situ of vulva (controls excluding all cancers)	CD2_INSITU_VULVA_EXALLC
Carcinoma in situ of endometrium (controls excluding all cancers)	CD2_INSITU_ENDOMETRIUM_EXALLC
Malignant immunoproliferative diseases (controls excluding all cancers)	CD2_IMMUNOPROLIFERATIVE_EXALLC
Benign neoplasm: Vagina	CD2_BENIGN_VULVA
Benign neoplasm: Vulva	CD2_BENIGN_VAGINA
Other benign neoplasms of uterus	CD2_BENIGN_UTERUS_OTH
Benign neoplasm of urinary organs	CD2_BENIGN_URINARY
Benign neoplasm: Transverse colon	CD2_BENIGN_TRANSVERSE_COLON
Benign neoplasm: Testis	CD2_BENIGN_TESTIS
Benign neoplasm: Other and unspecified parts of small intestine	CD2_BENIGN_SMALL_INTESTINE_OTH
Benign neoplasm: salivary glands, exclude unknown (D119)	CD2_BENIGN_SALIVARY_KNOWN
Benign neoplasm: Parathyroid gland	CD2_BENIGN_PARATHYROID
Melanocytic naevi of upper limb, including shoulder	CD2_BENIGN_MELANOCYTIC_UPPERLIMB
Melanocytic naevi of ear and external auricular canal	CD2_BENIGN_MELANOCYTIC_EAR
